Count,median,Polar
45.567,78.12500000000001,77
46.044,82.03125,77
46.543,82.03125,78
47.023999999999994,82.03125,78
47.506,82.03125,78
47.981,82.03125,78
48.461000000000006,82.03125,78
48.961000000000006,82.03125,78
49.413999999999994,82.03125,78
49.888999999999996,82.03125,79
50.372,82.03125,79
50.839,82.03125,78
51.325,82.03125,78
51.84,82.03125,77
52.297,82.03125,77
52.772,82.03125,77
53.275,82.03125,77
53.733999999999995,82.03125,76
54.232,82.03125,76
54.708999999999996,82.03125,76
55.183,82.03125,76
55.646,82.03125,76
56.135,82.03125,76
56.599,82.03125,76
57.104,82.03125,76
57.571000000000005,82.03125,77
58.059,82.03125,77
58.55,82.03125,77
59.065,82.03125,77
59.49,82.03125,77
59.968999999999994,82.03125,78
60.44,82.03125,78
60.92100000000001,82.03125,77
61.413999999999994,82.03125,77
61.903999999999996,82.03125,77
62.391000000000005,82.03125,77
62.872,82.03125,77
63.327,82.03125,77
63.815,82.03125,77
64.31,82.03125,77
64.768,82.03125,78
65.24,82.03125,78
65.722,82.03125,78
66.219,82.03125,78
66.71300000000001,82.03125,79
67.185,82.03125,79
67.66199999999999,82.03125,79
68.142,82.03125,79
68.60300000000001,82.03125,79
69.093,82.03125,79
69.618,82.03125,79
70.039,82.03125,79
70.535,82.03125,77
71.02,82.03125,77
71.483,82.03125,77
71.97800000000001,82.03125,77
72.47399999999999,82.03125,77
72.923,82.03125,76
73.428,82.03125,76
73.95,82.03125,76
74.431,82.03125,76
74.842,82.03125,76
75.34,82.03125,76
75.822,82.03125,76
76.282,82.03125,76
76.81,82.03125,77
77.26,82.03125,77
77.749,82.03125,77
78.208,82.03125,77
78.707,82.03125,79
79.202,82.03125,79
79.657,82.03125,80
80.139,82.03125,80
80.627,82.03125,81
81.086,82.03125,81
81.562,82.03125,82
82.052,82.03125,82
82.52600000000001,82.03125,82
83.01100000000001,82.03125,82
83.485,82.03125,82
83.969,82.03125,82
84.499,82.03125,82
84.921,82.03125,82
85.426,82.03125,82
85.90799999999999,82.03125,81
86.39,82.03125,81
86.845,82.03125,81
87.325,82.03125,81
87.806,82.03125,81
88.31,82.03125,81
88.78200000000001,82.03125,82
89.265,82.03125,82
89.719,82.03125,82
90.23,82.03125,82
90.734,82.03125,82
91.176,82.03125,82
91.73299999999999,82.03125,83
92.134,82.03125,83
92.63,82.03125,82
93.09,82.03125,82
93.583,82.03125,82
94.04299999999999,82.03125,82
94.569,82.03125,81
95.02,82.03125,81
95.531,82.03125,81
95.98299999999999,82.03125,81
96.45100000000001,82.03125,81
96.95,82.03125,81
97.425,82.03125,81
97.89299999999999,82.03125,81
98.397,82.03125,81
98.846,82.03125,80
99.34299999999999,82.03125,80
99.863,82.03125,80
100.367,82.03125,80
100.771,82.03125,80
101.259,82.03125,80
101.721,82.03125,80
102.227,82.03125,80
102.69200000000001,82.03125,81
103.23200000000001,82.03125,81
103.67399999999999,82.03125,81
104.133,82.03125,81
104.74700000000001,82.03125,82
105.12299999999999,82.03125,82
105.573,82.03125,83
106.07,82.03125,83
106.542,82.03125,84
107.04,82.03125,84
107.50299999999999,82.03125,84
107.979,82.03125,84
108.446,82.03125,84
108.929,82.03125,84
109.46,82.03125,84
109.936,82.03125,84
110.37700000000001,82.03125,84
110.84,82.03125,84
111.32700000000001,82.03125,84
111.815,82.03125,83
112.295,82.03125,83
112.80799999999999,82.03125,82
113.251,82.03125,82
113.749,82.03125,82
114.21799999999999,82.03125,82
114.712,82.03125,81
115.182,83.98437500000001,81
115.656,83.98437500000001,81
116.186,83.98437500000001,81
116.611,83.98437500000001,82
117.09,83.98437500000001,82
117.589,83.98437500000001,82
118.061,83.98437500000001,82
118.523,83.98437500000001,82
119.001,83.98437500000001,82
119.49600000000001,83.98437500000001,82
119.96,83.98437500000001,83
120.486,83.98437500000001,83
120.984,85.9375,83
121.456,85.9375,83
121.90100000000001,85.9375,83
122.366,85.9375,83
122.84299999999999,85.9375,83
123.32600000000001,85.9375,83
123.79899999999999,85.9375,83
124.29700000000001,85.9375,83
124.78200000000001,85.9375,83
125.272,85.9375,83
125.72200000000001,85.9375,82
126.23,85.9375,82
126.679,85.9375,82
127.18799999999999,85.9375,82
127.667,85.9375,82
128.15200000000002,85.9375,82
128.60399999999998,85.9375,81
129.102,85.9375,81
129.577,85.9375,81
130.066,85.9375,81
130.52,85.9375,80
131.02700000000002,85.9375,80
131.49,85.9375,80
131.984,85.9375,80
132.441,85.9375,80
132.93200000000002,85.9375,81
133.45600000000002,85.9375,81
133.88299999999998,85.9375,81
134.388,85.9375,81
134.844,85.9375,81
135.334,85.9375,81
135.82299999999998,83.98437500000001,81
136.32299999999998,83.98437500000001,81
136.79399999999998,83.98437500000001,81
137.266,83.98437500000001,81
137.719,83.98437500000001,80
138.207,83.98437500000001,80
138.70600000000002,83.98437500000001,80
139.179,83.98437500000001,80
139.65200000000002,83.98437500000001,80
140.14,83.98437500000001,80
140.601,83.98437500000001,81
141.122,83.98437500000001,81
141.565,83.98437500000001,82
142.094,83.98437500000001,82
142.584,83.98437500000001,82
143.015,83.98437500000001,82
143.503,82.03125,83
143.968,82.03125,83
144.485,82.03125,83
144.946,82.03125,83
145.431,82.03125,83
145.88299999999998,82.03125,83
146.408,82.03125,83
146.855,82.03125,83
147.328,82.03125,83
147.844,82.03125,83
148.297,82.03125,83
148.85399999999998,82.03125,83
149.27700000000002,82.03125,83
149.746,82.03125,83
150.21,82.03125,83
150.681,82.03125,84
151.172,82.03125,84
151.666,82.03125,84
152.139,82.03125,84
152.616,82.03125,85
153.115,82.03125,85
153.586,82.03125,86
154.053,82.03125,86
154.532,82.03125,86
155.001,82.03125,86
155.482,82.03125,86
155.977,82.03125,87
156.461,82.03125,87
156.924,82.03125,86
157.423,82.03125,86
157.89,82.03125,86
158.364,82.03125,86
158.85399999999998,82.03125,86
159.32299999999998,82.03125,86
159.8,82.03125,85
160.284,82.03125,85
161.195,82.03125,85
161.263,82.03125,85
161.721,82.03125,85
162.275,82.03125,85
162.719,82.03125,86
163.184,82.03125,86
163.649,82.03125,86
164.143,82.03125,86
164.615,82.03125,86
165.12,82.03125,86
165.59,82.03125,87
166.063,83.98437500000001,87
166.53,83.98437500000001,87
167.00799999999998,83.98437500000001,87
167.479,83.98437500000001,87
167.99200000000002,83.98437500000001,87
168.451,83.98437500000001,87
168.94299999999998,83.98437500000001,86
169.435,83.98437500000001,86
169.88099999999997,83.98437500000001,85
170.39,83.98437500000001,85
170.84099999999998,83.98437500000001,85
171.33700000000002,83.98437500000001,85
171.80700000000002,83.98437500000001,84
172.27900000000002,83.98437500000001,84
172.766,83.98437500000001,83
173.25900000000001,83.98437500000001,83
173.74099999999999,83.98437500000001,83
174.213,83.98437500000001,83
174.69400000000002,83.98437500000001,83
175.202,83.98437500000001,83
175.658,83.98437500000001,83
176.12599999999998,83.98437500000001,83
176.662,83.98437500000001,83
177.097,83.98437500000001,83
177.56099999999998,83.98437500000001,84
178.06099999999998,83.98437500000001,84
178.53099999999998,83.98437500000001,84
179.028,83.98437500000001,84
179.493,83.98437500000001,84
179.96099999999998,83.98437500000001,84
